,0,1
0,120,182
1,124,182
2,123,182
3,123,182
4,123,182
5,122,182
6,121,182
7,121,182
8,121,182
9,121,182
10,121,182
11,121,182
12,121,182
13,121,182
14,121,182
15,121,182
16,120,182
17,120,182
18,120,183
19,120,183
20,120,182
21,120,182
22,120,182
23,120,182
24,120,182
25,120,182
26,120,182
27,119,182
28,119,182
29,119,182
30,119,182
31,119,182
32,120,182
33,120,182
34,120,182
35,120,182
36,120,182
37,120,182
38,120,182
39,120,182
40,120,182
41,120,182
42,120,182
43,120,182
44,120,182
45,120,182
46,120,182
47,120,182
48,120,182
49,120,182
50,120,182
51,121,183
52,121,183
53,121,183
54,121,183
55,121,183
56,121,183
57,121,182
58,121,182
59,121,182
60,122,183
61,123,183
62,123,183
63,123,182
64,124,183
65,124,182
66,125,183
67,125,183
68,126,183
69,126,183
70,127,183
71,127,183
72,129,183
73,129,183
74,129,183
75,129,182
76,131,183
77,132,183
78,132,183
79,133,183
80,135,183
81,136,183
82,136,183
83,137,183
84,139,183
85,140,183
86,140,183
87,141,183
88,143,183
89,145,183
90,145,183
91,146,183
92,146,183
93,147,183
94,151,183
95,154,186
96,151,183
97,152,183
98,153,183
99,157,183
100,157,183
101,157,183
102,159,183
103,163,183
104,164,183
105,165,183
106,165,183
107,167,183
108,167,183
109,172,183
110,173,183
111,174,184
112,175,184
113,176,184
114,182,184
115,183,184
116,185,184
117,185,184
118,187,184
119,193,184
120,194,184
121,196,185
122,197,184
123,199,184
124,209,185
125,211,185
126,212,185
127,213,185
128,221,185
129,224,185
130,225,185
131,226,185
132,227,185
133,236,186
134,239,186
135,240,186
136,241,186
137,251,186
138,253,186
139,255,186
140,264,187
141,268,187
142,269,187
143,271,187
144,272,187
145,282,187
146,285,187
147,286,187
148,287,187
149,297,187
150,302,188
151,303,188
152,313,188
153,315,188
154,317,189
155,319,189
156,329,189
157,332,189
158,333,189
159,335,189
160,345,189
161,348,189
162,349,189
163,351,190
164,362,190
165,363,190
166,365,190
167,367,190
168,368,191
169,379,191
170,380,191
171,382,191
172,383,191
173,385,191
174,386,191
175,395,191
176,399,192
177,401,191
178,402,192
179,403,192
180,405,192
181,413,193
182,415,192
183,416,192
184,417,193
185,427,193
186,428,193
187,429,193
188,431,193
189,431,193
190,442,194
191,444,194
192,445,194
193,447,194
194,449,194
195,457,194
196,459,194
197,459,194
198,461,194
199,461,195
200,463,195
201,471,195
202,472,195
203,473,195
204,475,195
205,475,195
206,484,195
207,485,195
208,486,195
209,487,195
210,487,195
211,488,195
212,492,196
213,493,195
214,494,196
215,498,196
216,499,195
217,500,196
218,501,196
219,505,196
220,506,196
221,506,196
222,507,196
223,507,196
224,511,196
225,511,196
226,512,196
227,514,196
228,515,196
229,515,196
230,515,197
231,517,197
232,517,197
233,518,196
234,518,196
235,520,196
236,520,196
237,520,196
238,520,196
239,522,196
240,522,196
241,523,196
242,523,196
243,524,196
244,524,196
245,524,196
246,525,196
247,525,196
248,525,196
249,525,196
250,525,197
251,525,197
252,525,197
253,525,197
254,525,197
255,525,197
256,526,197
257,526,197
258,526,196
259,526,196
260,526,196
261,527,196
