,0,1
0,120,182
1,120,182
2,120,182
3,120,182
4,120,182
5,120,182
6,120,182
7,120,182
8,120,182
9,120,182
10,120,182
11,120,182
12,120,182
13,120,182
14,120,182
15,120,182
16,120,182
17,120,182
18,120,182
19,120,182
20,120,182
21,120,182
22,120,182
23,120,182
24,120,182
25,120,182
26,120,182
27,120,182
28,120,182
29,120,182
30,120,182
31,120,182
32,120,182
33,120,182
34,120,182
35,120,182
36,120,182
37,120,182
38,120,183
39,120,183
40,121,183
41,121,183
42,121,183
43,121,183
44,121,182
45,121,182
46,121,182
47,121,182
48,121,182
49,122,182
50,123,183
51,123,183
52,123,183
53,123,182
54,124,182
55,124,183
56,125,183
57,125,183
58,125,183
59,125,182
60,126,183
61,126,183
62,127,183
63,128,183
64,129,183
65,129,183
66,129,183
67,131,183
68,131,183
69,132,183
70,132,183
71,133,183
72,135,183
73,135,183
74,135,183
75,136,183
76,137,183
77,140,183
78,141,183
79,141,183
80,141,183
81,145,183
82,146,183
83,146,183
84,147,183
85,150,183
86,151,183
87,152,183
88,153,183
89,153,183
90,158,183
91,159,183
92,160,183
93,164,183
94,165,183
95,167,183
96,168,183
97,169,183
98,175,184
99,177,184
100,178,184
101,179,184
102,185,184
103,187,184
104,189,184
105,197,185
106,199,185
107,199,185
108,201,185
109,201,185
110,203,185
111,209,185
112,211,185
113,212,185
114,213,185
115,221,185
116,224,185
117,225,185
118,235,185
119,235,186
120,237,186
121,238,186
122,247,186
123,249,186
124,250,186
125,251,186
126,253,186
127,260,187
128,263,187
129,264,187
130,265,187
131,277,187
132,279,187
133,282,187
134,293,187
135,295,187
136,297,187
137,298,188
138,299,188
139,301,188
140,309,188
141,311,188
142,313,188
143,315,188
144,317,189
145,327,189
146,331,189
147,333,189
148,337,189
149,338,189
150,349,190
151,351,190
152,353,190
153,354,190
154,363,191
155,366,190
156,367,191
157,378,191
158,379,191
159,381,191
160,382,191
161,391,191
162,393,191
163,395,191
164,396,192
165,397,191
166,405,192
167,408,192
168,409,192
169,410,192
170,419,193
171,421,193
172,422,193
173,423,193
174,431,193
175,433,193
176,433,191
177,435,193
178,444,194
179,446,194
180,447,193
181,448,194
182,454,194
183,455,194
184,457,194
185,457,194
186,458,194
187,465,194
188,467,195
189,467,195
190,468,195
191,474,195
192,475,195
193,476,195
194,483,195
195,485,195
196,485,195
197,487,195
198,487,195
199,487,195
200,492,195
201,493,195
202,494,195
203,495,195
204,499,195
205,500,196
206,501,196
207,504,196
208,505,196
209,506,196
210,507,196
211,507,196
212,510,196
213,511,196
214,512,196
215,512,196
216,513,196
217,515,196
218,515,197
219,516,196
220,516,196
221,517,196
222,519,196
223,519,197
224,519,197
225,519,197
226,520,196
227,521,196
228,521,196
229,522,196
230,522,196
231,523,196
232,523,196
233,523,196
234,523,196
235,523,196
236,524,196
237,524,196
238,525,196
239,525,196
240,525,196
241,525,196
242,525,197
243,525,197
244,525,197
245,526,197
246,526,197
247,526,196
248,527,196
