,0,1
0,120,182
1,120,182
2,120,182
3,120,182
4,120,183
5,120,182
6,120,182
7,120,182
8,120,182
9,120,183
10,120,183
11,120,183
12,120,183
13,120,183
14,120,183
15,120,182
16,120,182
17,120,182
18,120,182
19,120,182
20,120,182
21,120,182
22,120,182
23,120,182
24,120,182
25,120,182
26,120,182
27,120,182
28,120,182
29,120,182
30,120,182
31,120,182
32,120,182
33,120,182
34,120,183
35,120,182
36,120,183
37,121,183
38,121,183
39,121,183
40,121,183
41,121,183
42,121,183
43,121,182
44,121,183
45,121,182
46,122,182
47,122,182
48,122,182
49,123,183
50,123,182
51,123,182
52,123,182
53,123,182
54,124,183
55,125,183
56,125,183
57,125,183
58,125,183
59,126,183
60,127,183
61,128,183
62,129,183
63,129,183
64,129,183
65,131,183
66,131,183
67,131,183
68,134,183
69,135,183
70,135,183
71,136,183
72,136,183
73,139,183
74,139,183
75,140,183
76,143,183
77,143,183
78,143,183
79,144,183
80,147,183
81,148,183
82,149,183
83,153,183
84,154,183
85,155,183
86,155,183
87,157,183
88,157,183
89,161,183
90,163,183
91,163,183
92,165,184
93,165,183
94,171,184
95,173,184
96,173,184
97,174,184
98,175,184
99,175,184
100,180,184
101,181,184
102,182,184
103,183,184
104,184,184
105,191,184
106,193,185
107,193,184
108,194,185
109,195,185
110,200,185
111,201,185
112,202,185
113,203,185
114,204,185
115,211,185
116,212,185
117,213,185
118,214,185
119,220,185
120,222,185
121,223,185
122,224,185
123,225,185
124,232,185
125,234,186
126,235,186
127,235,186
128,243,186
129,245,186
130,247,186
131,248,186
132,250,186
133,259,187
134,262,187
135,271,187
136,273,187
137,274,187
138,275,187
139,276,187
140,283,187
141,285,187
142,285,187
143,287,187
144,295,188
145,297,188
146,298,188
147,299,188
148,305,188
149,309,188
150,310,188
151,311,189
152,313,189
153,323,189
154,326,189
155,327,189
156,335,189
157,338,189
158,341,189
159,341,189
160,352,190
161,354,190
162,356,190
163,357,190
164,359,190
165,368,190
166,370,191
167,371,191
168,373,191
169,373,191
170,381,191
171,383,191
172,385,191
173,387,191
174,389,191
175,397,191
176,399,191
177,400,192
178,401,191
179,402,192
180,408,192
181,410,192
182,411,192
183,412,192
184,413,192
185,423,193
186,425,193
187,427,193
188,429,193
189,430,193
190,438,193
191,441,193
192,441,193
193,443,193
194,443,193
195,450,193
196,451,194
197,452,194
198,453,193
199,458,194
200,460,194
201,467,194
202,468,194
203,468,194
204,469,195
205,474,194
206,475,195
207,476,195
208,477,195
209,481,195
210,483,195
211,489,195
212,489,195
213,490,195
214,491,195
215,491,195
216,492,195
217,495,195
218,496,195
219,497,195
220,497,195
221,501,195
222,502,196
223,503,195
224,506,196
225,507,195
226,507,196
227,508,196
228,508,196
229,511,196
230,512,196
231,515,196
232,515,196
233,515,196
234,515,196
235,515,196
236,516,196
237,517,196
238,517,196
239,518,196
240,518,196
241,519,196
242,520,196
243,521,196
244,521,196
245,522,196
246,522,196
247,523,196
248,523,196
249,523,196
250,523,196
251,524,196
252,524,196
253,525,196
254,525,196
255,525,197
256,525,197
257,525,197
258,525,197
259,526,197
260,526,196
261,526,196
262,526,196
263,526,197
264,526,196
265,526,196
266,526,196
267,527,196
