,0,1
0,120,183
1,120,183
2,120,182
3,120,182
4,120,182
5,120,182
6,120,182
7,120,182
8,120,182
9,120,182
10,120,182
11,120,183
12,120,183
13,120,183
14,120,183
15,120,183
16,120,183
17,120,182
18,120,182
19,120,182
20,120,182
21,120,182
22,120,182
23,120,182
24,120,182
25,120,182
26,120,182
27,120,182
28,120,182
29,120,182
30,120,182
31,121,183
32,121,183
33,121,183
34,121,183
35,121,183
36,121,183
37,121,183
38,121,183
39,121,183
40,119,181
41,121,183
42,121,182
43,121,182
44,121,182
45,123,183
46,123,183
47,123,183
48,123,182
49,123,182
50,124,183
51,125,183
52,125,183
53,125,183
54,125,183
55,126,183
56,126,183
57,127,183
58,129,183
59,129,183
60,129,183
61,131,183
62,131,183
63,131,183
64,132,183
65,134,183
66,135,183
67,135,183
68,135,183
69,137,183
70,139,183
71,139,183
72,139,183
73,142,183
74,143,183
75,143,183
76,147,183
77,148,183
78,149,183
79,149,183
80,150,183
81,155,183
82,156,183
83,157,183
84,157,183
85,158,183
86,158,183
87,162,183
88,163,183
89,164,183
90,165,183
91,166,183
92,173,184
93,174,184
94,175,184
95,175,184
96,176,184
97,181,184
98,183,184
99,185,184
100,185,184
101,187,184
102,195,185
103,195,184
104,196,185
105,197,185
106,197,185
107,205,185
108,207,185
109,209,185
110,210,185
111,211,185
112,212,185
113,220,185
114,222,185
115,223,185
116,224,185
117,226,185
118,227,185
119,236,186
120,237,186
121,238,186
122,240,186
123,241,186
124,250,186
125,254,186
126,257,187
127,267,187
128,268,187
129,269,187
130,270,187
131,271,187
132,280,187
133,281,187
134,282,187
135,283,187
136,292,188
137,295,187
138,296,188
139,306,188
140,308,188
141,309,188
142,311,188
143,319,189
144,322,189
145,323,189
146,332,189
147,335,189
148,336,189
149,337,189
150,345,189
151,349,189
152,359,190
153,361,190
154,362,190
155,363,191
156,372,191
157,375,191
158,377,191
159,387,191
160,388,191
161,389,191
162,390,191
163,398,192
164,401,192
165,403,191
166,411,192
167,413,192
168,413,192
169,415,192
170,422,193
171,425,193
172,433,193
173,435,193
174,437,193
175,437,193
176,444,193
177,446,194
178,447,193
179,448,194
180,455,194
181,455,194
182,456,194
183,457,194
184,458,194
185,459,194
186,465,194
187,465,195
188,466,194
189,468,195
190,469,195
191,475,195
192,477,195
193,477,195
194,479,195
195,483,195
196,484,195
197,485,195
198,485,195
199,489,195
200,491,195
201,491,195
202,496,196
203,497,195
204,497,195
205,498,196
206,499,195
207,503,195
208,503,196
209,504,196
210,505,196
211,507,196
212,508,196
213,509,196
214,509,196
215,509,196
216,510,196
217,513,196
218,513,196
219,513,196
220,514,196
221,515,196
222,516,196
223,517,196
224,519,196
225,519,196
226,519,196
227,521,196
228,521,196
229,521,196
230,521,196
231,523,196
232,523,196
233,524,196
234,524,196
235,524,196
236,524,196
237,524,196
238,525,197
239,525,197
240,525,197
241,525,197
242,526,197
243,526,197
244,526,197
245,526,197
246,526,197
247,527,196
